floor_month,location,total_monthly_sales,median_monthly_sales
2020-04-01,Nova Scotia,61.5,61.5
2020-04-01,Oregon,67,15.725
2020-04-01,Washington,159.03,6.35
2020-05-01,Alberta,49.68,24.84
2020-05-01,Arizona,133.26000000000002,30
2020-05-01,British Columbia,60,60
2020-05-01,California,2615.83,8.295
2020-05-01,Colorado,236.67,15
2020-05-01,Michigan,109.73,9.959999999999999
2020-05-01,Nevada,38.85,19.425
2020-05-01,Nova Scotia,49.25,13.89
2020-05-01,Ontario,15,15
2020-05-01,Oregon,462.36,15
2020-05-01,Salisbury Postcode Area (UK),14.940000000000001,14.940000000000001
2020-05-01,Washington,258.16,12.75
2020-06-01,British Columbia,26.979999999999997,13.489999999999998
2020-06-01,California,1871.16,7.65
2020-06-01,Colorado,144.68,8.3
2020-06-01,Michigan,130.02,10.98
2020-06-01,Nevada,18.6,9.3
2020-06-01,Nova Scotia,5.9,5.9
2020-06-01,Ontario,4.96,2.48
2020-06-01,Oregon,249.75,9.75
2020-06-01,Washington,166.91,5
2020-07-01,Arizona,44.33,17
2020-07-01,British Columbia,119.52000000000001,119.52000000000001
2020-07-01,California,2867.5,9.91
2020-07-01,Colorado,186.74,7.055
2020-07-01,Michigan,166.47,12.829999999999998
2020-07-01,Nevada,40.79,6.24
2020-07-01,Nova Scotia,16.759999999999998,8.379999999999999
2020-07-01,Ontario,6.7299999999999995,1.65
2020-07-01,Oregon,263.73,7.800000000000001
2020-07-01,Washington,92.93,5.79
2020-08-01,Alberta,24.900000000000002,24.900000000000002
2020-08-01,Arizona,91.85,16.63
2020-08-01,British Columbia,50.88,50.88
2020-08-01,California,1454.35,9.98
2020-08-01,Colorado,181.67000000000002,15
2020-08-01,Manitoba,63.199999999999996,14.899999999999999
2020-08-01,Michigan,119.2,20.4
2020-08-01,Nevada,251.33999999999997,12.75
2020-08-01,Nova Scotia,12.75,12.75
2020-08-01,Ontario,16.95,8.475
2020-08-01,Oregon,209.88,39.599999999999994
2020-08-01,Salisbury Postcode Area (UK),17.700000000000003,17.700000000000003
2020-08-01,Washington,332.41,12.600000000000001
2020-09-01,Alberta,46.2,17.700000000000003
2020-09-01,Arizona,224.98,19.05
2020-09-01,British Columbia,187.5,6.72
2020-09-01,California,2657.61,10.2
2020-09-01,Colorado,354.4,14.025000000000002
2020-09-01,Michigan,58.300000000000004,3.29
2020-09-01,Nevada,30,30
2020-09-01,Nova Scotia,56.6,6.77
2020-09-01,Ontario,12,6
2020-09-01,Oregon,220.96,9.08
2020-09-01,Washington,512.64,13.36
2020-10-01,Arizona,54.07,6.58
2020-10-01,British Columbia,140.69,13.9
2020-10-01,California,6599.88,9.98
2020-10-01,Colorado,296.62,10.02
2020-10-01,Michigan,105.75999999999999,7.379999999999999
2020-10-01,Nevada,82.13000000000001,17.85
2020-10-01,Nova Scotia,16.65,8.325
2020-10-01,Ontario,40.58,14.850000000000001
2020-10-01,Oregon,211.25,12.600000000000001
2020-10-01,Salisbury Postcode Area (UK),1.7399999999999998,1.7399999999999998
2020-10-01,Washington,381.03,12.75
2020-11-01,Alberta,45.06,14.76
2020-11-01,Arizona,221.75,13.919999999999998
2020-11-01,British Columbia,232.49,7.2
2020-11-01,California,8239.25,8.4
2020-11-01,Colorado,1065.23,7.379999999999999
2020-11-01,Michigan,365.61,7.64
2020-11-01,Nevada,118.9,10.475000000000001
2020-11-01,Newfoundland,15,15
2020-11-01,Nova Scotia,67.89,4.145
2020-11-01,Ontario,118.2,10.79
2020-11-01,Oregon,559.79,9.475
2020-11-01,Washington,243.22,4.16
2020-12-01,Arizona,123.17,12.72
2020-12-01,British Columbia,64.6,32.3
2020-12-01,California,3724.69,8.49
2020-12-01,Colorado,303.51,13.675
2020-12-01,Manitoba,3.36,3.36
2020-12-01,Michigan,127.72,9.34
2020-12-01,Nevada,4.949999999999999,4.949999999999999
2020-12-01,Nova Scotia,7.54,3.77
2020-12-01,Ontario,55.35,17.700000000000003
2020-12-01,Oregon,373.92,10.08
2020-12-01,Washington,262.64,5.79
