"Region","Year","Age Range","Marijuana Use","Measure Type","Variable","Value"
"Connecticut","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",35.39
"Connecticut","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.16
"Connecticut","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.06
"Connecticut","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",0.88
"Connecticut","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.45
"Connecticut","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.2
"Connecticut","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.2
"Connecticut","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",0.04
"Connecticut","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.13
"Connecticut","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",0.89
"Connecticut","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.27
"Connecticut","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.25
"Connecticut","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.43
"Connecticut","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",0.89
"Connecticut","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",7.1
"Connecticut","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.44
"Connecticut","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.8
"Connecticut","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",1.88
"Connecticut","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",16.22
"Connecticut","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",1.44
"Connecticut","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",9.43
"Connecticut","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.42
"Connecticut","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",22.22
"Connecticut","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",2.79
"Connecticut","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",36.86
"Connecticut","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.19
"Connecticut","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.29
"Connecticut","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.05
"Connecticut","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.42
"Connecticut","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.35
"Connecticut","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.67
"Connecticut","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",0.05
"Connecticut","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.15
"Connecticut","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.07
"Connecticut","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.03
"Connecticut","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.42
"Connecticut","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.78
"Connecticut","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",0.87
"Connecticut","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",6.83
"Connecticut","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.36
"Connecticut","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.95
"Connecticut","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",1.92
"Connecticut","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",16.57
"Connecticut","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",1.51
"Connecticut","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",9.49
"Connecticut","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.28
"Connecticut","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",22.99
"Connecticut","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",2.72
"Connecticut","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",38.89
"Connecticut","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.2
"Connecticut","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.33
"Connecticut","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.15
"Connecticut","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.25
"Connecticut","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.5
"Connecticut","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.5
"Connecticut","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",0.07
"Connecticut","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.22
"Connecticut","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.2
"Connecticut","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.95
"Connecticut","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.58
"Connecticut","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.55
"Connecticut","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",0.89
"Connecticut","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",7.19
"Connecticut","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.3
"Connecticut","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.26
"Connecticut","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",1.99
"Connecticut","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.61
"Connecticut","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",1.38
"Connecticut","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",9.2
"Connecticut","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.55
"Connecticut","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",24.16
"Connecticut","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",2.82
"Connecticut","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",39.48
"Connecticut","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.2
"Connecticut","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.44
"Connecticut","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.2
"Connecticut","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.31
"Connecticut","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.41
"Connecticut","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.25
"Connecticut","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.08
"Connecticut","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.26
"Connecticut","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.23
"Connecticut","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.94
"Connecticut","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.5
"Connecticut","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.23
"Connecticut","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",0.87
"Connecticut","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.22
"Connecticut","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.34
"Connecticut","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.78
"Connecticut","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.04
"Connecticut","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.72
"Connecticut","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",1.51
"Connecticut","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",9.64
"Connecticut","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.8
"Connecticut","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",25.73
"Connecticut","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",3.21
"Connecticut","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",42.16
"Connecticut","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.23
"Connecticut","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.63
"Connecticut","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.1
"Connecticut","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.43
"Connecticut","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.37
"Connecticut","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.97
"Connecticut","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.11
"Connecticut","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.43
"Connecticut","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.1
"Connecticut","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.78
"Connecticut","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.4
"Connecticut","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.56
"Eastern Region","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",2.13
"Eastern Region","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",7.8
"Eastern Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.58
"Eastern Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.21
"Eastern Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",4.01
"Eastern Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",18.12
"Eastern Region","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",3.95
"Eastern Region","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",10.4
"Eastern Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Eastern Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Eastern Region","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.52
"Eastern Region","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.51
"Eastern Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.25
"Eastern Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.88
"Eastern Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.94
"Eastern Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.86
"Eastern Region","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Eastern Region","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Eastern Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.12
"Eastern Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.42
"Eastern Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.84
"Eastern Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.23
"Eastern Region","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",1.74
"Eastern Region","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",6.21
"Eastern Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.53
"Eastern Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.52
"Eastern Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.47
"Eastern Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.78
"Eastern Region","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",2.49
"Eastern Region","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",8.48
"Eastern Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Eastern Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Eastern Region","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.39
"Eastern Region","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.46
"Eastern Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.13
"Eastern Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.41
"Eastern Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.62
"Eastern Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.47
"Eastern Region","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Eastern Region","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Eastern Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.95
"Eastern Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.61
"Eastern Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.38
"Eastern Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.29
"Eastern Region","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",1.66
"Eastern Region","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",4.96
"Eastern Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.79
"Eastern Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.87
"Eastern Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.63
"Eastern Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.64
"Eastern Region","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",2.72
"Eastern Region","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",7.96
"Eastern Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Eastern Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Eastern Region","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.43
"Eastern Region","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.44
"Eastern Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.41
"Eastern Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.01
"Eastern Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.79
"Eastern Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.34
"Eastern Region","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Eastern Region","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Eastern Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.3
"Eastern Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.38
"Eastern Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.6
"Eastern Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.85
"Eastern Region","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",1.7
"Eastern Region","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",6.02
"Eastern Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.43
"Eastern Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.29
"Eastern Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.33
"Eastern Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.75
"Eastern Region","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",2.6
"Eastern Region","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",8.76
"Eastern Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.1
"Eastern Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",19.41
"Eastern Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.99
"Eastern Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",33.2
"Eastern Region","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.45
"Eastern Region","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.7
"Eastern Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.83
"Eastern Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.82
"Eastern Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.45
"Eastern Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.12
"Eastern Region","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Eastern Region","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Eastern Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.7
"Eastern Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.32
"Eastern Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.4
"Eastern Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.78
"Eastern Region","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",1.52
"Eastern Region","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",5.41
"Eastern Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.19
"Eastern Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.44
"Eastern Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.29
"Eastern Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.19
"Eastern Region","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",2.88
"Eastern Region","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",9.75
"Eastern Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.52
"Eastern Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.44
"Eastern Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.23
"Eastern Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",42.13
"Eastern Region","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.49
"Eastern Region","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.92
"Eastern Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.22
"Eastern Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",10.28
"Eastern Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.83
"Eastern Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.17
"Eastern Region","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Eastern Region","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Eastern Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.27
"Eastern Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.51
"Eastern Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.92
"Eastern Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",11.91
"Eastern Region","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",1.75
"Eastern Region","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.01
"Eastern Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.31
"Eastern Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.88
"Eastern Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.61
"Eastern Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.87
"Eastern Region","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",2.79
"Eastern Region","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",9.52
"Eastern Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Eastern Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Eastern Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Eastern Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Eastern Region","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.5
"Eastern Region","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",2.03
"Eastern Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.33
"Eastern Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",10.86
"Eastern Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.94
"Eastern Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",18.24
"Eastern Region","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.15
"Eastern Region","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.43
"Eastern Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.1
"Eastern Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.57
"Eastern Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.83
"Eastern Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",12.31
"North Central Region","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",1.54
"North Central Region","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",6.85
"North Central Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.25
"North Central Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.93
"North Central Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.27
"North Central Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.04
"North Central Region","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",2.42
"North Central Region","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",7.75
"North Central Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.21
"North Central Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",24.21
"North Central Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.91
"North Central Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",37.48
"North Central Region","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.27
"North Central Region","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.95
